No.,d(A),I(f),h,k,l,2Theta(deg),Theta(deg),1/(2d)
1,4.03,12,0,0,1,22.038,11.019,0.1241
2,3.99,25,1,0,0,22.262,11.131,0.1253
3,2.838,100,1,0,1,31.497,15.749,0.1762
4,2.825,100,1,1,0,31.646,15.823,0.177
5,2.314,46,1,1,1,38.887,19.444,0.2161
6,2.019,12,0,0,2,44.855,22.428,0.2476
7,1.997,37,2,0,0,45.377,22.688,0.2504
8,1.802,6,1,0,2,50.613,25.306,0.2775
9,1.79,8,2,0,1,50.976,25.488,0.2793
10,1.786,7,2,1,0,51.099,25.549,0.28
11,1.642,15,1,1,2,55.953,27.977,0.3045
12,1.634,35,2,1,1,56.251,28.126,0.306
13,1.419,12,2,0,2,65.753,32.877,0.3524
14,1.412,10,2,2,0,66.121,33.06,0.3541
15,1.337,5,2,1,2,70.357,35.178,0.374
16,1.332,2,3,0,0,70.66,35.33,0.3754
17,1.275,5,1,0,3,74.334,37.167,0.3922
18,1.264,7,3,0,1,75.092,37.546,0.3956
19,1.263,9,3,1,0,75.162,37.581,0.3959
20,1.214,3,1,1,3,78.765,39.383,0.4119
21,1.205,5,3,1,1,79.47,39.735,0.4149
22,1.1569,7,2,2,2,83.49,41.745,0.4322
23,1.1194,1,2,0,3,86.963,43.481,0.4467
24,1.1161,1,3,0,2,87.284,43.642,0.448
25,1.1082,1,3,2,0,88.066,44.033,0.4512
26,1.0746,7,2,1,3,91.583,45.791,0.4653
27,1.0703,12,3,1,2,92.057,46.029,0.4672
28,1.0679,12,3,2,1,92.324,46.162,0.4682
29,1.0093,1,0,0,4,99.491,49.746,0.4954
30,0.9984,2,4,0,0,100.98,50.49,0.5008
31,0.9784,1,1,0,4,103.865,51.933,0.511
32,0.9742,1,2,2,3,104.498,52.249,0.5132
33,0.971,1,3,2,2,104.987,52.494,0.5149
34,0.9686,1,4,1,0,105.358,52.679,0.5162
35,0.9506,3,1,1,4,108.252,54.126,0.526
36,0.9465,1,3,0,3,108.942,54.471,0.5283
37,0.9419,5,4,1,1,109.729,54.865,0.5308
38,0.9208,2,3,1,3,113.552,56.776,0.543
39,0.9166,2,3,3,1,114.358,57.179,0.5455
40,0.901,3,2,0,4,117.501,58.751,0.5549
