No.,d(A),I(f),h,k,l,2Theta(deg),Theta(deg),1/(2d)
1,6.9893,2,0,0,2,12.655,6.3275,0.0715
2,4.6744,2,1,0,1,18.97,9.485,0.107
3,4.0428,9,1,0,2,21.967,10.9835,0.1237
4,3.4919,1,0,0,4,25.487,12.7435,0.1432
5,3.3937,26,1,0,3,26.238,13.119,0.1473
6,2.8633,100,1,1,0,31.212,15.606,0.1746
7,2.8553,91,1,0,4,31.301,15.6505,0.1751
8,2.649,1,1,1,2,33.81,16.905,0.1887
9,2.4408,6,2,0,1,36.792,18.396,0.2049
10,2.4337,4,1,0,5,36.904,18.452,0.2054
11,2.3365,16,2,0,2,38.497,19.2485,0.214
12,2.329,15,0,0,6,38.627,19.3135,0.2147
13,2.2136,3,1,1,4,40.727,20.3635,0.2259
14,2.1882,22,2,0,3,41.221,20.6105,0.2285
15,2.1073,1,1,0,6,42.881,21.4405,0.2373
16,2.0214,33,2,0,4,44.799,22.3995,0.2474
17,1.8539,13,2,0,5,49.101,24.5505,0.2697
18,1.8514,10,1,0,7,49.172,24.586,0.2701
19,1.8102,5,2,1,2,50.369,25.1845,0.2762
20,1.8061,8,1,1,6,50.491,25.2455,0.2768
21,1.7466,2,0,0,8,52.337,26.1685,0.2863
22,1.7389,8,2,1,3,52.586,26.293,0.2875
23,1.6513,32,2,1,4,55.611,27.8055,0.3028
24,1.6471,29,1,0,8,55.767,27.8835,0.3036
25,1.5544,9,2,0,7,59.412,29.706,0.3217
26,1.4942,1,3,0,4,62.064,31.032,0.3346
27,1.4908,6,1,1,8,62.222,31.111,0.3354
28,1.4813,3,1,0,9,62.666,31.333,0.3375
29,1.4596,1,2,1,6,63.707,31.8535,0.3426
30,1.4312,15,2,2,0,65.121,32.5605,0.3494
31,1.4277,12,2,0,8,65.303,32.6515,0.3502
32,1.3686,3,3,1,1,68.502,34.251,0.3653
33,1.3658,8,2,1,7,68.662,34.331,0.3661
34,1.3494,4,3,1,2,69.615,34.8075,0.3705
35,1.3475,4,3,0,6,69.727,34.8635,0.3711
36,1.3443,4,1,0,10,69.92,34.96,0.3719
37,1.3243,1,2,2,4,71.134,35.567,0.3776
38,1.3188,5,3,1,3,71.475,35.7375,0.3791
39,1.3154,6,2,0,9,71.686,35.843,0.3801
40,1.2793,11,3,1,4,74.044,37.022,0.3908
41,1.2772,5,2,1,8,74.183,37.0915,0.3915
42,1.2552,1,1,1,10,75.71,37.855,0.3983
43,1.234,1,3,1,5,77.253,38.6265,0.4052
44,1.2301,2,1,0,11,77.537,38.7685,0.4065
45,1.219,6,2,2,6,78.378,39.189,0.4102
46,1.2003,2,3,0,8,79.847,39.9235,0.4166
47,1.1977,4,4,0,3,80.05,40.025,0.4175
48,1.1953,4,2,1,9,80.247,40.1235,0.4183
49,1.1681,4,4,0,4,82.516,41.258,0.428
50,1.1638,2,0,0,12,82.881,41.4405,0.4296
51,1.1323,3,3,1,7,85.735,42.8675,0.4416
52,1.1302,2,2,0,11,85.932,42.966,0.4424
53,1.1225,1,3,2,2,86.663,43.3315,0.4454
54,1.1198,3,2,1,10,86.928,43.464,0.4465
55,1.1068,1,2,2,8,88.211,44.1055,0.4518
56,1.1049,3,3,2,3,88.396,44.198,0.4525
57,1.0816,12,3,2,4,90.826,45.413,0.4623
58,1.0781,4,1,1,12,91.197,45.5985,0.4638
59,1.0691,1,4,1,2,92.191,46.0955,0.4677
60,1.0667,1,3,0,10,92.464,46.232,0.4687
61,1.0528,3,4,0,7,94.046,47.023,0.4749
62,1.0512,3,2,1,11,94.239,47.1195,0.4756
63,1.0501,3,1,0,13,94.369,47.1845,0.4761
64,1.0334,1,4,1,4,96.388,48.194,0.4838
65,1.0292,2,3,1,9,96.906,48.453,0.4858
66,1.0106,1,4,0,8,99.317,49.6585,0.4948
67,0.9996,1,2,2,10,100.81,50.405,0.5002
68,0.9881,2,3,2,7,102.437,51.2185,0.506
69,0.9857,3,2,0,13,102.783,51.3915,0.5073
70,0.9811,3,4,1,6,103.459,51.7295,0.5096
71,0.9799,1,3,1,10,103.648,51.824,0.5103
72,0.9698,1,5,0,3,105.17,52.585,0.5156
73,0.9684,1,4,0,9,105.382,52.691,0.5163
74,0.9539,4,5,0,4,107.709,53.8545,0.5242
75,0.953,1,3,2,8,107.855,53.9275,0.5247
76,0.9516,4,3,0,12,108.09,54.045,0.5254
77,0.9421,1,1,1,14,109.703,54.8515,0.5307
78,0.9348,1,4,2,1,110.969,55.4845,0.5349
79,0.9329,3,3,1,11,111.317,55.6585,0.536
80,0.9321,3,2,1,13,111.462,55.731,0.5364
81,0.9286,1,4,2,2,112.096,56.048,0.5384
82,0.9271,1,4,0,10,112.377,56.1885,0.5393
83,0.9196,3,4,1,8,113.772,56.886,0.5437
84,0.9185,3,4,2,3,113.994,56.997,0.5444
85,0.9174,3,3,2,9,114.208,57.104,0.545
86,0.9049,5,4,2,4,116.684,58.342,0.5525
87,0.9031,5,2,2,12,117.071,58.5355,0.5536
