No,d(A),I(f),h,k,l,2Theta
1,8.2477,9,2,0,0,10.718
2,6.9756,7,-2,0,1,12.68
3,4.5849,19,0,0,2,19.344
4,4.4596,4,-2,0,2,19.893
5,4.1227,28,-4,0,1,21.536
6,3.8268,7,1,1,0,23.224
7,3.6679,6,2,0,2,24.245
8,3.4726,100,4,0,1,25.631
9,3.1524,86,-3,1,1,28.286
10,3.1051,35,-2,0,3,28.726
11,3.0559,23,0,0,3,29.199
12,3.0159,76,-1,1,2,29.595
13,2.904,59,3,1,1,30.763
14,2.8638,62,1,1,2,31.206
15,2.8024,28,-3,1,2,31.908
16,2.7722,69,-4,0,3,32.265
17,2.7461,28,6,0,0,32.58
18,2.6744,17,2,0,3,33.479
19,2.6341,4,-6,0,2,34.007
20,2.5517,28,-5,1,1,35.14
21,2.5253,8,5,1,0,35.519
22,2.4794,9,6,0,1,36.2
23,2.4515,5,-1,1,3,36.626
24,2.3957,5,-5,1,2,37.51
25,2.3717,33,-3,1,3,37.905
26,2.3333,27,5,1,1,38.553
27,2.3292,26,1,1,3,38.623
28,2.291,16,0,0,4,39.293
29,2.2237,15,4,0,3,40.534
30,2.1504,6,6,0,2,41.98
31,2.1377,9,-5,1,3,42.241
32,2.1138,3,-8,0,1,42.742
33,2.0891,57,2,0,4,43.273
34,2.0758,17,3,1,3,43.565
35,2.061,70,-8,0,2,43.892
36,2.02,35,7,1,0,44.832
37,2.0136,32,-1,1,4,44.981
38,1.996,25,-6,0,4,45.4
39,1.9674,53,0,2,0,46.099
40,1.9221,14,1,1,4,47.251
41,1.9175,6,8,0,1,47.371
42,1.8823,5,-2,0,5,48.312
43,1.8666,5,-5,1,4,48.746
44,1.86,5,-7,1,3,48.928
45,1.8452,3,6,0,3,49.348
46,1.8329,14,4,0,4,49.7
47,1.8082,10,0,2,2,50.429
48,1.7991,30,5,1,3,50.699
49,1.7751,16,-4,2,1,51.436
50,1.7559,6,3,1,4,52.039
51,1.7365,7,8,0,2,52.667
52,1.7281,12,7,1,2,52.941
53,1.7144,20,-6,0,5,53.399
54,1.7116,3,4,2,1,53.493
55,1.6896,56,-3,1,5,54.246
56,1.6867,28,-7,1,4,54.347
57,1.6744,5,-9,1,2,54.777
58,1.6613,20,-2,2,3,55.246
59,1.6598,21,9,1,0,55.301
60,1.6246,5,-5,1,5,56.605
61,1.6108,7,-10,0,3,57.135
62,1.6042,20,-4,2,3,57.394
63,1.5996,19,6,2,0,57.574
64,1.5909,3,6,0,4,57.917
65,1.5667,3,5,1,4,58.901
66,1.561,10,10,0,1,59.136
67,1.552,10,8,0,3,59.512
68,1.5491,5,4,0,5,59.636
69,1.528,7,0,0,6,60.542
70,1.5117,3,-7,1,5,61.268
71,1.507,7,3,1,5,61.478
72,1.4984,7,-9,1,4,61.869
73,1.4928,7,0,2,4,62.129
74,1.4856,12,-6,0,6,62.461
75,1.4733,5,4,2,3,63.043
76,1.4667,8,9,1,2,63.36
77,1.4553,3,-3,1,6,63.916
78,1.4492,10,10,0,2,64.217
79,1.4323,23,2,2,4,65.066
80,1.4293,25,-11,1,1,65.222
81,1.423,35,-8,2,2,65.544
82,1.4049,5,-12,0,1,66.498
83,1.4013,7,-6,2,4,66.691
84,1.3938,19,1,1,6,67.096
85,1.389,25,-11,1,3,67.36
86,1.3861,20,6,0,5,67.521
87,1.3835,20,8,0,4,67.663
88,1.3746,24,-8,2,3,68.162
