No.,d(A),I(f),h,k,l,2Theta(deg)
1,4.5629,8,0,1,1,19.438
2,4.4521,4,0,0,2,19.927
3,3.7216,100,1,1,1,23.89
4,3.6603,50,1,0,2,24.296
5,3.2164,20,2,0,0,27.712
6,3.0251,6,2,0,1,29.503
7,3.0145,2,1,1,2,29.609
8,2.7518,4,2,1,0,32.51
9,2.6949,1,1,0,3,33.217
10,2.6572,18,0,2,0,33.702
11,2.629,30,2,1,1,34.074
12,2.6074,16,2,0,2,34.365
13,2.5913,40,0,1,3,34.586
14,2.3681,1,1,2,1,37.964
15,2.2818,12,0,2,2,39.459
16,2.226,4,0,0,4,40.49
17,2.1506,50,1,2,2,41.976
18,2.1036,20,1,0,4,42.96
19,2.0487,18,2,2,0,44.17
20,2.0179,40,2,1,3,44.881
21,1.9554,1,1,1,4,46.397
22,1.9408,30,3,1,1,46.768
23,1.932,14,3,0,2,46.994
24,1.8924,1,1,2,3,48.038
25,1.8611,6,2,2,2,48.899
26,1.8305,3,2,0,4,49.772
27,1.8162,1,3,1,2,50.189
28,1.7376,3,0,3,1,52.629
29,1.7165,1,1,0,5,53.327
30,1.7064,3,0,2,4,53.668
31,1.6884,2,0,1,5,54.285
32,1.6774,12,1,3,1,54.672
33,1.6492,14,1,2,4,55.688
34,1.6332,12,1,1,5,56.283
35,1.6082,3,4,0,0,57.236
36,1.5948,1,1,3,2,57.76
37,1.5826,1,4,0,1,58.249
38,1.5626,6,3,2,2,59.067
39,1.5444,2,3,0,4,59.837
40,1.5287,3,2,3,1,60.512
41,1.5212,7,0,3,3,60.844
42,1.5168,5,4,1,1,61.038
43,1.5126,2,4,0,2,61.226
44,1.5074,3,2,2,4,61.459
45,1.4951,3,2,1,5,62.023
46,1.484,3,0,0,6,62.54
47,1.3753,12,2,3,3,68.12
48,1.3665,10,4,1,3,68.625
49,1.3474,14,2,0,6,69.733
50,1.3353,7,3,2,4,70.463
51,1.3286,4,0,4,0,70.866
52,1.3266,8,3,1,5,70.991
53,1.3145,2,4,2,2,71.743
54,1.3035,1,4,0,4,72.444
55,1.2956,6,0,2,6,72.958
56,1.2732,2,5,0,1,74.455
57,1.256,1,0,3,5,75.656
58,1.2489,5,1,4,2,76.159
59,1.2383,4,5,1,1,76.934
60,1.2361,3,5,0,2,77.096
61,1.2327,5,1,3,5,77.349
62,1.228,2,2,4,0,77.696
63,1.2147,4,1,1,7,78.71
64,1.2018,4,2,2,6,79.723
65,1.1838,2,2,4,2,81.186
66,1.1803,1,4,3,1,81.48
67,1.1646,1,4,1,5,82.819
68,1.1546,1,2,1,7,83.694
69,1.1482,1,5,2,1,84.268
70,1.1409,1,0,4,4,84.932
71,1.1233,4,1,4,4,86.582
72,1.1207,4,5,2,2,86.839
73,1.1139,2,5,0,4,87.504
74,1.1051,4,4,3,3,88.374
75,1.0967,2,1,0,8,89.239
76,1.0948,3,3,4,2,89.435
77,1.0906,2,4,0,6,89.865
78,1.0837,2,3,3,5,90.594
79,1.0753,1,2,4,4,91.506
80,1.0717,3,3,1,7,91.903
81,1.0554,1,0,5,1,93.751
82,1.0515,1,2,0,8,94.197
