No.,d(A),I(f),h,k,l,2Theta(deg),Theta(deg),1/(2d)
1,3.247,100,1,1,0,27.446,13.723,0.154
2,2.487,50,1,0,1,36.085,18.043,0.201
3,2.297,8,2,0,0,39.187,19.593,0.2177
4,2.188,25,1,1,1,41.225,20.613,0.2285
5,2.054,10,2,1,0,44.05,22.025,0.2434
6,1.6874,60,2,1,1,54.322,27.161,0.2963
7,1.6237,20,2,2,0,56.64,28.32,0.3079
8,1.4797,10,0,0,2,62.74,31.37,0.3379
9,1.4528,10,3,1,0,64.038,32.019,0.3442
10,1.4243,2,2,2,1,65.478,32.739,0.351
11,1.3598,20,3,0,1,69.008,34.504,0.3677
12,1.3465,12,1,1,2,69.788,34.894,0.3713
13,1.3041,2,3,1,1,72.408,36.204,0.3834
14,1.2739,1,3,2,0,74.409,37.205,0.3925
15,1.2441,4,2,0,2,76.508,38.254,0.4019
16,1.2006,2,2,1,2,79.819,39.91,0.4165
17,1.1702,6,3,2,1,82.333,41.166,0.4273
18,1.1483,4,4,0,0,84.258,42.129,0.4354
19,1.1143,2,4,1,0,87.461,43.731,0.4487
20,1.0936,8,2,2,2,89.555,44.777,0.4572
21,1.0827,4,3,3,0,90.705,45.352,0.4618
22,1.0425,6,4,1,1,95.272,47.636,0.4796
23,1.0364,6,3,1,2,96.014,48.007,0.4824
24,1.0271,4,4,2,0,97.173,48.587,0.4868
25,1.0167,1,3,3,1,98.511,49.255,0.4918
26,0.9703,2,4,2,1,105.095,52.547,0.5153
27,0.9644,2,1,0,3,106.015,53.007,0.5185
28,0.9438,2,1,1,3,109.402,54.701,0.5298
29,0.9072,4,4,0,2,116.222,58.111,0.5511
30,0.9009,4,5,1,0,117.522,58.761,0.555
31,0.8892,8,2,1,3,120.054,60.027,0.5623
32,0.8774,8,4,3,1,122.783,61.392,0.5699
33,0.8738,8,3,3,2,123.655,61.827,0.5722
34,0.8437,6,4,2,2,131.841,65.92,0.5926
35,0.8292,8,3,0,3,136.541,68.271,0.603
36,0.8196,12,5,2,1,140.044,70.022,0.6101
37,0.812,2,4,4,0,143.107,71.554,0.6158
38,0.7877,2,5,3,0,155.856,77.928,0.6348
