No.,d(A),I(f),h,k,l,2Theta(deg),Theta(deg),1/(2d)
1,3.52,100,1,0,1,25.281,12.64,0.142
2,2.431,10,1,0,3,36.946,18.473,0.2057
3,2.378,20,0,0,4,37.8,18.9,0.2103
4,2.332,10,1,1,2,38.575,19.288,0.2144
5,1.892,35,2,0,0,48.049,24.024,0.2643
6,1.6999,20,1,0,5,53.89,26.945,0.2941
7,1.6665,20,2,1,1,55.06,27.53,0.3
8,1.493,4,2,1,3,62.119,31.059,0.3349
9,1.4808,14,2,0,4,62.688,31.344,0.3377
10,1.3641,6,1,1,6,68.76,34.38,0.3665
11,1.3378,6,2,2,0,70.309,35.154,0.3737
12,1.2795,2,1,0,7,74.029,37.014,0.3908
13,1.2649,10,2,1,5,75.029,37.515,0.3953
14,1.2509,4,3,0,1,76.017,38.009,0.3997
15,1.1894,2,0,0,8,80.725,40.362,0.4204
16,1.1725,2,3,0,3,82.136,41.068,0.4264
17,1.1664,6,2,2,4,82.659,41.33,0.4287
18,1.1608,4,3,1,2,83.146,41.573,0.4307
19,1.06,2,2,1,7,93.217,46.609,0.4717
20,1.0517,4,3,0,5,94.178,47.089,0.4754
21,1.0436,4,3,2,1,95.139,47.57,0.4791
22,1.0182,2,1,0,9,98.315,49.158,0.4911
23,1.007,2,2,0,8,99.801,49.9,0.4965
24,0.9967,2,3,2,3,101.217,50.609,0.5017
25,0.9555,4,3,1,6,107.444,53.722,0.5233
26,0.9464,4,4,0,0,108.959,54.479,0.5283
27,0.9246,2,3,0,7,112.836,56.418,0.5408
28,0.9192,2,3,2,5,113.857,56.928,0.544
29,0.9138,2,4,1,1,114.904,57.452,0.5472
30,0.8966,4,2,1,9,118.434,59.217,0.5577
31,0.889,2,2,2,8,120.099,60.049,0.5624
32,0.8819,2,4,1,3,121.72,60.86,0.567
33,0.8793,2,4,0,4,122.331,61.165,0.5686
34,0.8464,2,4,2,0,131.029,65.514,0.5907
35,0.8308,2,3,2,7,135.991,67.996,0.6018
36,0.8268,4,4,1,5,137.384,68.692,0.6047
37,0.8102,2,3,0,9,143.878,71.939,0.6171
38,0.7974,4,4,2,4,150.028,75.014,0.627
39,0.7928,2,0,0,12,152.622,76.311,0.6307
